1	0	a	@Angel_On_Earth No easy way to do it, no.  
2	1	a	Hangin at PJs with @iKilgore and @italianoblake.  Talked about music with the new guy at PJs for like an hour.
3	1	a	@mortava They ate part of a deer head.  Will didn't seem to mind.
4	1	a	back from school, never have to sit in math lesson ever again! wooohoo 
5	0	a	Oh my god my eyes juSt don't want to open 
6	1	a	@tommcfly hey mr twitter! what time is the flight to chile? we are waiting! 
7	1	a	#followfriday @mayhemstudios one of the most #awesome #influential and #positive tweeple 
8	1	a	Today has been a surprisingly good day..not that I'm complaining or anything 
9	0	a	Back to work! I'm off in 2.5 hours 
10	0	a	i miss the v's already 
11	1	a	up early (for me) going for quick run then to studio to unload new glaze tests before heading to wonderful day job. 
12	0	a	I just spent 3 amazing days in Disney World.  I miss it already.  
13	0	a	@TessMorris U probs don't want to know but feeling sick is worse for me.  Non-productive...  
14	0	a	Defeated  ive been reading all my required readings but i cant seem to remember anything from what ive read. career pa ung pagbasa ko a 
15	1	a	Heleen, what's the problem?? I'm sad now... Me and my habit to feeling my friend's pain :/ Doon't cry DDD; Pleease 
16	0	a	@actoG41 i no, dude, i let someone borrow mgs, adn i have no money on my phone 
17	0	a	@davymacca I know, it does hammer the battery. are you good on it? I thought that I was, but I haven't finished drylands yet 
18	0	a	They don't have any boston creme pies!  Atleast we got ketchup.
19	0	a	Comforting my grieving hubby. He's really missing his dad today. 
20	1	a	@xplosion29th LOL.......Studying.....right...Studying for....CS...haha 
21	0	a	@Quiggmate  your lucky, its raining here in belfast  keep on singing, your doing great &lt;3
22	0	a	Work soon.  BOO.  
23	1	a	@PetalOfRed maybe you should  in caps!
24	0	a	 this job blows. *deep breaths clayton*
25	1	a	@peterfacinelli Deaqon: Is this bedtime? Did I ask for a story?  I like this quote! 
26	1	a	@vanessawhite @FrankieTheSats Aw yay, glad your having a brilliant time! Dont forget about us Brits though! 
27	1	a	@hawkins_boi I'm ready 
28	1	a	Just got done @ the gym n came out 2 it sprinkling  how wonderful 2 top it off I work 2day then have 3 days off
29	0	a	@rachaelearl  Me 
30	0	a	just about to do some materials homework 
31	0	a	Still at airport waiting..  been on ground for 20 min..
32	0	a	@threehundredfps yeah that gurl of urs is incredible  it makes me sad that we dont all get to hang out (really it does. a lot.)
33	0	a	needs to mug for Chinese A's but doesn't feel like it. 
34	0	a	I burnt myself inthe bloody sun. I am a terrifying shade of lobster pink in funny little patches.  And on the end of my nose 
35	1	a	Lakers all the way baby! 
36	1	a	Off to a few graduation parties after mowing two lawns back to back and working from 6am to 1pm. Could busy be the word? Why yes it is! 
37	1	a	LOVE IT!!!! COYB. nearly vommed during penalties but Howard u r a legend 
38	0	a	@jesuscripes I thought Wolverine tried way too hard to include everything, and didn't develop characters, and let us see their powers. 
39	1	a	@headamongclouds that'd be a yes 
40	0	a	@xfsasx so so so pissed. I'm thinking of cancelling cause I'm so mad. idfk. 10 am. horrid seats first go.  I'm so sad.this has beenmydream
41	0	a	@tommcfly I need to watch Star Trek 
42	1	a	will be seeing the SPIT family tonight. 
43	0	a	@_meeks_ i left my house too late to get it. 
44	0	a	Tiredness, headache and suburn - the result of a BBQ in the sun. So preoccupied with protecting my arms that I forgot about my face! 
45	0	a	come on ppl! #PakCricket needs pushes!!! we slipped to 6 
46	1	a	@ecoflic at least you're not sunburnt 
47	0	a	@shilton1084 I DON'T KNOW! I'm so sad.  I totally saw the line and wondered what it was, but didn't want to cross the street. haha
48	0	a	just rememberd i got no phone!  suxz
49	0	a	@EuanDewar no  it's just there are several fit teachers at the school i work at... the interns are nice too #notaperv
50	0	a	I miss having someone to talk to every night 
51	1	a	@pranaydewan Yes. First!!! But definitely not the last. It was the Creme variant not the plain original one 
52	0	a	@so_zwitschert so very expensive 
53	1	a	Eating breakfast in bed 
54	0	a	i have a mosquito bite on my hip 
55	1	a	@NickDavies just replace the coconut with yoghurt for low fat 
56	0	a	Enjoying a glass of sauv blanc and catching up on email/fb/twitter/etc.  Work and life have been busy lately, been slacking off on here 
57	0	a	UGH I DONT WANT SCHOOL TO END~ 
58	0	a	@AyoNish 
59	1	a	@tommcfly good for you tom! what time is it where u are?? plz reply!! 
60	0	a	@ameeraaa__ I'm not the faintin' type, but I'd probs cry. this is so ily,I want to be there so badly 
61	0	a	@DanMan1986 ...I'm heading back to Egham just before then! 
62	0	a	wants someone to come over and hang with her 
63	0	a	Ethic Test today. I didn't even sleep all night. Now I can't stay awake. What can I do? 
64	1	a	doing bio work  i love you steven
65	1	a	@fernandopassion and at the end of the show he came down and grabbed our hands and said hi. That show was the best, SSSC, NIN, JA = EPIC! 
66	1	a	http://bit.ly/Pbre3 - @carolineco 1 year anniversary party photos! 
67	1	a	@adamswife1972 your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/16160/ 
68	0	a	Last can of jolt 
69	0	a	My knees hurt  i can't get comfortable enough to get sleepy.
70	0	a	Is sad bc it's raining and it's just taking time away from spending time with my baby, all bc I can't drive in this stupid weather! 
71	0	a	@ldjohnson9 my littel heart? I dont get it 
72	1	a	Going to Salford to see SophieSuds and EllaBella 
73	0	a	Thumbs down from me . Sorry! 
74	0	a	trying to work out how to use this!! 
75	1	a	@sweet19 thanksies but ur so lucky u are in high school! I am jello 
76	0	a	@rhodamorgan I'm jealous, do something bubbly for me 
